DateTime,Description,Merchant,Category_Code,Category_Name,Type,Amount_EUR,Payment_Method
1/1/24 9:00,Monthly Salary,Tech Solutions Ltd,SAL,Salary,Income,3500,Bank Transfer
1/1/24 17:31,Food & Drink Purchase,Local Cafe,ENT,Food & Drink,Expense,-1.76,Direct Debit
1/2/24 8:30,Monthly Apartment Rent,City Apartments,RNT,Rent,Expense,-1200.0,Bank Transfer
1/2/24 11:16,Car Service Purchase,Auto Service Pro,CAR,Car Service,Expense,-24.15,Direct Debit
1/2/24 15:54,Online Shopping Purchase,Amazon,SHOP,Online Shopping,Expense,-23.69,Card
1/2/24 22:30,Utilities Purchase,Orange Telecom,UTL,Utilities,Expense,-8.7,Card
1/3/24 7:36,Food & Drink Purchase,Local Cafe,ENT,Food & Drink,Expense,-1.51,Direct Debit
1/3/24 12:26,Food & Drink Purchase,Local Cafe,ENT,Food & Drink,Expense,-1.35,Direct Debit
1/3/24 14:12,Subscriptions Purchase,Spotify,SUB,Subscriptions,Expense,-2.11,Mobile Payment
1/3/24 19:12,Food & Drink Purchase,Local Cafe,ENT,Food & Drink,Expense,-1.73,Card
1/3/24 19:34,Food & Drink Purchase,Local Cafe,ENT,Food & Drink,Expense,-1.38,Mobile Payment
1/3/24 22:15,Subscriptions Purchase,Gym Membership,SUB,Subscriptions,Expense,-6.7,Direct Debit
1/4/24 7:11,Food & Drink Purchase,Local Cafe,ENT,Food & Drink,Expense,-1.62,Mobile Payment
1/4/24 9:45,Groceries Purchase,Carrefour,GRY,Groceries,Expense,-48.25,Card
1/4/24 13:19,Travel Purchase,Booking.com,TRV,Travel,Expense,-28.69,Direct Debit
1/4/24 13:52,Utilities Purchase,Orange Telecom,UTL,Utilities,Expense,-6.46,Direct Debit
1/5/24 7:44,Medical Purchase,Pharmacy,MED,Medical,Expense,-9.69,Direct Debit
1/5/24 10:29,Car Fuel Purchase,Total Energies,FUEL,Car Fuel,Expense,-15.68,Card
1/5/24 12:26,Travel Purchase,Ryanair,TRV,Travel,Expense,-7.9,Direct Debit
1/5/24 14:05,Groceries Purchase,Carrefour,GRY,Groceries,Expense,-53.97,Direct Debit
1/5/24 19:54,Medical Purchase,Pharmacy,MED,Medical,Expense,-10.48,Direct Debit
1/5/24 19:59,Food & Drink Purchase,Restaurant,ENT,Food & Drink,Expense,-30.39,Card
1/6/24 19:03,Subscriptions Purchase,Spotify,SUB,Subscriptions,Expense,-1.45,Mobile Payment
1/7/24 10:01,Online Shopping Purchase,Amazon,SHOP,Online Shopping,Expense,-19.14,Card
1/7/24 13:41,Medical Purchase,Pharmacy,MED,Medical,Expense,-9.51,Mobile Payment
1/8/24 10:38,Subscriptions Purchase,Gym Membership,SUB,Subscriptions,Expense,-6.9,Mobile Payment
1/8/24 13:59,Travel Purchase,Ryanair,TRV,Travel,Expense,-6.19,Direct Debit
1/8/24 15:26,Travel Purchase,Ryanair,TRV,Travel,Expense,-7.81,Card
1/8/24 15:34,Subscriptions Purchase,Netflix,SUB,Subscriptions,Expense,-2.44,Mobile Payment
1/9/24 9:00,Car Fuel Purchase,Total Energies,FUEL,Car Fuel,Expense,-13.08,Card
